L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,variable
5.180118893304919,5.181599159084964,0.001480265780045,10000000,5,5,0,0.01,1,2015.625,296.875,2140.625,187.5,k_imposed
4.970827539730767,4.92505841937686,-0.0457691203539063,10000000,5,6,0,0.01,1,2015.625,312.5,2312.5,203.125,k_imposed
4.924812137864882,4.93005716630914,0.0052450284442571,10000000,5,6,0,0.01,1,2093.75,328.125,2250.0,203.125,k_imposed
4.867726498611337,4.785056062894872,-0.0826704357164658,10000000,5,7,0,0.01,1,2265.625,281.25,2468.75,187.5,k_imposed
4.784792194109714,4.789397849366235,0.0046056552565216,10000000,5,7,0,0.01,1,2234.375,281.25,2500.0,187.5,k_imposed
4.758290809068906,4.669270870416652,-0.0890199386522541,10000000,5,8,0,0.01,1,2609.375,281.25,2625.0,187.5,k_imposed
4.668960905852212,4.672454216279518,0.0034933104273058,10000000,5,8,0,0.01,1,2390.625,296.875,2562.5,203.125,k_imposed
4.609351241105796,4.493873572815665,-0.115477668290131,10000000,5,9,0,0.01,1,2937.5,296.875,2750.0,187.5,k_imposed
4.493566401403661,4.495381724992618,0.001815323588957,10000000,5,9,0,0.01,1,2656.25,281.25,2765.625,187.5,k_imposed
4.4670375703071805,4.358076929142861,-0.1089606411643195,10000000,5,10,0,0.01,1,3328.125,296.875,3031.25,187.5,k_imposed
4.35774212995035,4.358985824101963,0.0012436941516131,10000000,5,10,0,0.01,1,2890.625,312.5,2984.375,171.875,k_imposed
4.373484895314067,4.2469964938334455,-0.1264884014806213,10000000,5,11,0,0.01,1,3687.5,296.875,3156.25,203.125,k_imposed
4.246613945892209,4.249973918477795,0.0033599725855859,10000000,5,11,0,0.01,1,2984.375,296.875,3265.625,218.75,k_imposed
4.187060339476029,4.049803817633452,-0.1372565218425769,10000000,5,12,0,0.01,1,4343.75,312.5,3515.625,218.75,k_imposed
4.04941161933567,4.053186298943645,0.0037746796079751,10000000,5,12,0,0.01,1,3234.375,343.75,3437.5,203.125,k_imposed
