n_datapoints,n_features,n_clusters,t_A_avg,t_A_min,t_A_max,t_B_avg,t_B_min,t_B_max,avg_cluster_size,min_cluster_size,max_cluster_size
476435.0,17.0,4.0,0.21166362081255233,0.10998845100402832,0.251636266708374,0.018269879477364675,0.014524459838867188,0.048223018646240234,119108.75,37564.0,212794.0
483764.0,17.0,4.0,0.21143640004671538,0.12101316452026367,0.2542238235473633,0.019361404272226188,0.015511751174926758,0.05120372772216797,120941.0,38240.0,216437.0
491094.0,17.0,4.0,0.22861022698251823,0.10956668853759766,0.2797865867614746,0.017745752083627803,0.015021085739135742,0.02477097511291504,122773.5,38848.0,219779.0
498424.0,17.0,4.0,0.23119446393605825,0.11970710754394531,0.2580540180206299,0.019285111813931853,0.016659259796142578,0.033606767654418945,124606.0,39437.0,223133.0
505754.0,17.0,4.0,0.22803979653578538,0.12228035926818848,0.2683553695678711,0.020744121991671048,0.01661229133605957,0.047492027282714844,126438.5,40022.0,226835.0
513083.0,17.0,4.0,0.23061220462505633,0.1263749599456787,0.2488727569580078,0.017682258899395283,0.01560831069946289,0.0226137638092041,128270.75,40536.0,230400.0
520413.0,17.0,4.0,0.2314155290001317,0.1535930633544922,0.2484290599822998,0.017907939459148207,0.016216516494750977,0.021114110946655273,130103.25,41163.0,234023.0
527743.0,17.0,4.0,0.2352236270904541,0.11813902854919434,0.26633214950561523,0.0189077513558524,0.016217708587646484,0.04859137535095215,131935.75,41735.0,237616.0
535073.0,17.0,4.0,0.23800060666840653,0.12006139755249023,0.2672100067138672,0.0195101129597631,0.016658306121826172,0.0426785945892334,133768.25,42325.0,241218.0
542402.0,17.0,4.0,0.24023699760437012,0.12169694900512695,0.2615988254547119,0.01990046671458653,0.016224384307861328,0.04219412803649902,135600.5,42914.0,244745.0
549732.0,17.0,4.0,0.24488531140720143,0.12285113334655762,0.28446531295776367,0.019672491971184227,0.017221927642822266,0.048310041427612305,137433.0,43482.0,248307.0
557062.0,17.0,4.0,0.24873709678649902,0.12529683113098145,0.2843916416168213,0.01916652756768304,0.017169713973999023,0.020835399627685547,139265.5,43983.0,251830.0
564392.0,17.0,4.0,0.2563254369629754,0.14051055908203125,0.29587721824645996,0.020735773775312636,0.01722121238708496,0.04664874076843262,141098.0,44479.0,255352.0
571722.0,17.0,4.0,0.25103297233581545,0.12865805625915527,0.27997803688049316,0.021548334757486978,0.019806623458862305,0.03204917907714844,142930.5,45064.0,258959.0
579051.0,17.0,4.0,0.25682706038157144,0.1308152675628662,0.29384541511535645,0.021331000328063964,0.018159866333007812,0.05259084701538086,144762.75,45588.0,262508.0
586381.0,17.0,4.0,0.26180401018687655,0.13296818733215332,0.29697132110595703,0.02140917948314122,0.019229412078857422,0.04376649856567383,146595.25,46096.0,266187.0
593711.0,17.0,4.0,0.2637171745300293,0.1333606243133545,0.3015477657318115,0.021665119355724703,0.019209861755371094,0.0456547737121582,148427.75,46660.0,269755.0
601041.0,17.0,4.0,0.26796636825952774,0.13357138633728027,0.3066987991333008,0.02225007155002692,0.01920032501220703,0.04334092140197754,150260.25,47143.0,273156.0
608370.0,17.0,4.0,0.2733367649284569,0.13682866096496582,0.31122660636901855,0.021373130179740286,0.019214391708374023,0.023684263229370117,152092.5,47637.0,276711.0
615700.0,17.0,4.0,0.2787436781258419,0.1384282112121582,0.3206496238708496,0.024818025786301184,0.020220041275024414,0.05818891525268555,153925.0,48199.0,280189.0
623030.0,17.0,4.0,0.2770721172464305,0.14229154586791992,0.3161008358001709,0.024268240764223296,0.020255088806152344,0.056181907653808594,155757.5,48747.0,283576.0
630360.0,17.0,4.0,0.2786663156567198,0.1442859172821045,0.3067970275878906,0.024874268156109436,0.020823955535888672,0.0581660270690918,157590.0,49281.0,286983.0
637689.0,17.0,4.0,0.28592445210712714,0.14244580268859863,0.32731032371520996,0.02398046051583639,0.02022099494934082,0.050642967224121094,159422.25,49741.0,290428.0
645019.0,17.0,4.0,0.2882346289498465,0.14845848083496094,0.3294050693511963,0.024062204360961913,0.02121567726135254,0.0456695556640625,161254.75,50217.0,294062.0
652349.0,17.0,4.0,0.2906856625168412,0.14887571334838867,0.3294351100921631,0.023732256006311486,0.021822690963745117,0.02622532844543457,163087.25,50669.0,297434.0
659679.0,17.0,4.0,0.2985601732807775,0.16206860542297363,0.3370347023010254,0.02344737514372795,0.021213769912719727,0.026740074157714844,164919.75,51170.0,300880.0
667009.0,17.0,4.0,0.3037990682265338,0.22108101844787598,0.33133816719055176,0.024770203758688533,0.023224353790283203,0.027179241180419922,166752.25,28656.0,293389.0
674338.0,17.0,4.0,0.29386175306219803,0.15603065490722656,0.31426358222961426,0.0301231208600496,0.023211002349853516,0.047829627990722656,168584.5,28959.0,297457.0
681668.0,17.0,4.0,0.3048314210530874,0.1571333408355713,0.3228754997253418,0.024419945639532967,0.02204442024230957,0.026217937469482422,170417.0,52703.0,310769.0
688998.0,17.0,4.0,0.3072728041944833,0.15602588653564453,0.3513906002044678,0.02618418890854408,0.022232770919799805,0.05074191093444824,172249.5,53196.0,313829.0
696328.0,17.0,4.0,0.31214058783746534,0.18033552169799805,0.33783960342407227,0.02527053894535188,0.0228269100189209,0.03223395347595215,174082.0,53711.0,316951.0
703657.0,17.0,4.0,0.31313336812532866,0.1614077091217041,0.3414113521575928,0.026801329392653245,0.024224042892456055,0.04211854934692383,175914.25,54199.0,319942.0
710987.0,17.0,4.0,0.3098580439885457,0.16420531272888184,0.3464944362640381,0.02893507480621338,0.025025606155395508,0.0627298355102539,177746.75,54659.0,322871.0
718317.0,17.0,4.0,0.3243573812338022,0.17362499237060547,0.3655588626861572,0.028094209157503568,0.024832487106323242,0.04964804649353027,179579.25,55135.0,325842.0
725647.0,17.0,4.0,0.32609791225857204,0.1682300567626953,0.36057353019714355,0.02708401944902208,0.023926258087158203,0.05780291557312012,181411.75,55623.0,328745.0
